"name_el","OGC_FID","WKT_GEOMETRY","id","name","x","y","cat","url"
"Άγιος Φωκάς","225","POINT (25.54458598343269 37.19007156598083)","224","Ag Fokas","                      636943.900","                     4116786.700","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/fokas.htm"
"Φραγκοκκλησιά","226","POINT (25.459986618089921 37.066871946841523)","225","Fragoklhsia","                      629644.890","                     4102999.160","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/fragkoklhsia.htm"
"Άγιος Γεώργιος Καλόξυλου","227","POINT (25.498094088843569 37.073806126234068)","226","Ag Georgios Kaloxylo","                      633020.770","                     4103821.200","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/geogios_kaloxylo.htm"
"Άγιος Γεώργιος Απειράνθου","228","POINT (25.526555499297057 37.083437765921857)","227","Ag Georgios Apeir","                      635533.790","                     4104930.060","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgi_apeiranthos.htm"
"Άγιος Γεώργιος Απαλήρου","229","POINT (25.453083896835285 37.010676782267424)","228","Ag Georgios Apalhroy","                      629126.450","                     4096755.220","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_apalhroy_kastro."
"Άγιος Γεώργιος Απειράνθου","230","POINT (25.527517874575807 37.091029417385109)","229","Ag Georgios Apeir","                      635605.790","                     4105773.700","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_apeirant.htm"
"Άγιος Γεώργιος Απειράνθου","231","POINT (25.52283139753451 37.064653862763649)","230","Ag Georgios Apeiran","                      635236.160","                     4102840.750","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_apeiranthos.htm"
"Άγιος Γεώργιος Αθαλασσάς","232","POINT (25.409778892470179 36.992053204098767)","231","Ag Georgios Athalassa","                      625304.130","                     4094631.110","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_athalasa.htm"
"Άγιος Γεώργιος Δαμαριώνα","233","POINT (25.467271794282304 37.042833649169793)","232","Ag Georgios Damarionas","                      630333.750","                     4100342.210","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_damarionas.htm"
"Άγιος Γεώργιος Καλαντού","234","POINT (25.505363629245203 36.988023712958082)","233","Ag Georgios kalantos","                      633817.640","                     4094314.290","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_distomo_kalantos"
"Άγιος Γεώργιος Κάστρου","235","POINT (25.46104259305536 37.067032001980245)","234","Ag Georgios Kastro","                      629738.500","                     4103018.360","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_kastro.htm"
"Άγιος Γεώργιος Κλειδός","236","POINT (25.556565557142775 36.992739190237309)","235","Ag Georgios Kleidos","                      638366.020","                     4094910.720","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_kleidos.htm"
"Άγιος Γεώργιος Μαραθού","237","POINT (25.473259272094179 37.006306755178763)","236","Ag Georgios Marathos","                      630929.000","                     4096297.990","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_maratho.htm"
"Άγιος Γεώργιος Μέσης","238","POINT (25.571934981540512 37.167776117555235)","237","Ag Georgios Mesh","                      639412.510","                     4114352.970","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_mesh.htm"
"Άγιος Γεώργιος Μουτσούνας","239","POINT (25.587365047009328 37.07825859245191)","238","Ag Georgios Moutsouna","                      640948.640","                     4104444.030","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_moytsoyna.htm"
"Άγιος Γεώργιος Οσκέλου","240","POINT (25.401393955068251 37.010584582221874)","239","Ag Georgios Oskelos","                      624527.660","                     4096676.020","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_oskelos.htm"
"Άγιος Γεώργιος Ψιλής Άμμου","241","POINT (25.561963873703352 37.01074304378934)","240","Ag Georgios Ps Ammos","                      638813.660","                     4096916.030","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_plili_ammos.htm"
"Άγιος Γεώργιος Σαγκρίου","242","POINT (25.442346832426296 37.046341100482344)","241","Ag Georgios Sagkri","                      628111.160","                     4100697.430","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_sagkri.htm"
"Άγιος Γεώργιος Σαγκρίου","243","POINT (25.438674622458549 37.034811673335547)","242","Ag Georgios Sag","                      627803.940","                     4099413.360","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_sagr.htm"
"Άγιος Γεώργιος Σίφωνες","244","POINT (25.511502460639054 37.091645756883018)","243","Ag Georgios Sifones","                      634181.270","                     4105819.310","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_sifones.htm"
"Άγιος Γεώργιος Σκεπόνι","245","POINT (25.495330090943892 37.141293568326041)","244","Ag Georgios Skeponi","                      632657.140","                     4111304.800","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_skeponi.htm"
"Άγιος Γεώργιος Ύρια","246","POINT (25.379694673383725 37.076410904774612)","245","Ag Georgios Yria","                      622491.090","                     4103950.810","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/georgios_yria.htm"
"Άγιος Γεώργιος Δανακού","247","POINT (25.51149834115634 37.044506695400187)","246","Ag Georgios Danakos","                      634264.080","                     4100589.430","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/gevrgios_danakos.htm"
"Γλησίδη (Εκκλησίδη)","248","POINT (25.555160614208653 37.019756161355183)","247","Glhsidi","                      638192.010","                     4097906.080","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/glhsidh.htm"
"Προφήτης Ηλίας Απειράνθου","249","POINT (25.525420767683265 37.071954254736475)","248","Profhths Hlias Apeir","                      635453.380","                     4103654.390","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/hlias_apeiranthos.htm"
"Προφήτης Ηλίας Ποταμιάς","250","POINT (25.440699108628944 37.064825406570606)","249","P Hlias Potamia","                      627933.550","                     4102745.940","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/hlias_potamia.htm"
"Προφήτης Ηλίας Απειράνθου","251","POINT (25.5700204822815 37.056813011641509)","250","P Hlias Apeir","                      639446.110","                     4102039.100","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/hlias_ropikh_apeiranthos."
"Προφήτης Ηλίας Σαγκρίου","252","POINT (25.448408550199812 37.052151629127984)","251","P Hlias Sagkri","                      628640.410","                     4101350.270","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/hlias_sagri.htm"
"Χριστός Εγγαρών","253","POINT (25.43569379508056 37.117206699491177)","252","Xristos Eggares","                      627400.700","                     4108550.650","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/xristos_eggares1.htm"
"Άγιος Θεόδωρος","254","POINT (25.387007852650772 37.080641464299021)","253","Ag Theodoros","                      623134.340","                     4104429.630","4","http://www.naxos.gov.gr/zoomify_naxos/byzantioum/pages/theodoros.htm"
